score,q1_cagr,q5_cagr,top_minus_bottom_cagr,ir_q1_vs_q5
composite,0.3414147025047294,0.09558448744763837,0.24583021505709102,1.7371996151887188
grp_quality,0.21094870385463693,0.21448925746764136,-0.003540553613004427,-0.1452908671493545
grp_growth,0.3577404099521233,0.11743554754308594,0.24030486240903737,2.380358990040134
grp_value,0.29550828847254795,0.1591368958222168,0.13637139265033116,0.9013631987083176
grp_momentum,0.2920166091729963,0.12891535221277994,0.16310125696021638,1.0793116277529022
grp_risk,0.17280232220769287,0.2069771710921331,-0.03417484888444022,-0.3278769139870066
loo_quality,0.33141974263284557,0.08456607943939143,0.24685366319345414,1.8018589753191125
loo_growth,0.26893033701709546,0.11601871708561173,0.15291161993148372,1.0312841078227895
loo_value,0.2712143328089638,0.12331547966808598,0.1478988531408778,0.7435750806403599
loo_momentum,0.2988509237561492,0.1507177806071438,0.1481331431490054,1.184580375347969
loo_risk,0.32156943948666483,0.07567327557588821,0.24589616391077662,2.0220786021814185
