date,symbol,side,units,price,value,cost,reason
2019-02-15,AARTIIND,buy,140.64317813077338,354.8,49900.1996007984,99.8003992015968,rebalance
2019-02-15,BRITANNIA,buy,16.944040611476535,2945.0,49900.1996007984,99.8003992015968,rebalance
2019-02-15,COLPAL,buy,39.76111521975968,1255.0,49900.1996007984,99.8003992015968,rebalance
2019-02-15,ITC,buy,178.8537620100301,279.0,49900.1996007984,99.8003992015968,rebalance
2019-02-15,LT,buy,40.112700643728616,1244.0,49900.1996007984,99.8003992015968,rebalance
2019-02-15,MGL,buy,57.42916285049879,868.9,49900.1996007984,99.8003992015968,rebalance
2019-02-15,NTPC,buy,453.63817818907637,110.0,49900.1996007984,99.8003992015968,rebalance
2019-02-15,POWERGRID,buy,372.9461853572376,133.8,49900.1996007984,99.8003992015968,rebalance
2019-02-15,RATNAMANI,buy,88.31372709715959,565.0333333333333,49900.1996007984,99.8003992015968,rebalance
2019-02-15,SKFINDIA,buy,25.33005055878091,1970.0,49900.1996007984,99.8003992015968,rebalance
2019-06-03,AARTIIND,sell,140.64317813077338,469.9625,66097.01960228357,132.19403920456716,rebalance
2019-06-03,BRITANNIA,sell,16.944040611476535,2936.0,49747.70323529511,99.49540647059021,rebalance
2019-06-03,COLPAL,sell,39.76111521975968,1152.4,45820.70917925106,91.64141835850212,rebalance
2019-06-03,LT,sell,40.112700643728616,1563.7,62724.229996598435,125.44845999319688,rebalance
2019-06-03,NTPC,sell,46.3952102108934,134.4,6235.516252344074,12.471032504688148,rebalance
2019-06-03,RATNAMANI,sell,88.31372709715959,640.0,56520.785342182135,113.04157068436427,rebalance
2019-06-03,SKFINDIA,sell,25.33005055878091,1894.05,47976.38226085898,95.95276452171797,rebalance
2019-06-03,ITC,buy,15.588137116113694,281.4,4386.501784474393,8.773003568948788,rebalance
2019-06-03,JBCHEPHARM,buy,143.48179324534146,379.95,54515.90734356749,109.03181468713498,rebalance
2019-06-03,MAHSEAMLES,buy,235.00768334332358,231.975,54515.90734356749,109.03181468713498,rebalance
2019-06-03,MGL,buy,4.190886807276396,888.0,3721.5074848614395,7.443014969722879,rebalance
2019-06-03,PIIND,buy,47.487724166870635,1148.0,54515.90734356749,109.03181468713498,rebalance
2019-06-03,POWERGRID,buy,10.601207209717336,142.6875,1512.6597537365424,3.025319507473085,rebalance
2019-06-03,RELIANCE,buy,40.83588565061235,1335.0,54515.90734356749,109.03181468713498,rebalance
2019-06-03,TATASTEEL,buy,1114.9587349129254,48.895,54515.90734356749,109.03181468713498,rebalance
2019-06-03,TRIDENT,buy,8046.628390194463,6.775,54515.90734356749,109.03181468713498,rebalance
2019-08-16,ITC,sell,194.4418991261438,248.75,48367.42240762827,96.73484481525654,rebalance
2019-08-16,JBCHEPHARM,sell,9.967035392492212,375.45,3742.123438111201,7.484246876222402,rebalance
2019-08-16,MAHSEAMLES,sell,235.00768334332358,200.6,47142.54127867071,94.28508255734143,rebalance
2019-08-16,PIIND,sell,3.12655971036422,1130.0,3533.012472711569,7.0660249454231385,rebalance
2019-08-16,POWERGRID,sell,56.073175118957195,153.075,8583.401281334372,17.166802562668746,rebalance
2019-08-16,RELIANCE,sell,40.83588565061235,1291.2,52727.29555207067,105.45459110414134,rebalance
2019-08-16,TATASTEEL,sell,1114.9587349129254,36.0,40138.51445686531,80.27702891373063,rebalance
2019-08-16,TRIDENT,sell,8046.628390194463,5.6000000000000005,45061.11898508899,90.12223797017799,rebalance
2019-08-16,GSPL,buy,224.9083400815126,222.0,49929.651498095795,99.85930299619159,rebalance
2019-08-16,KNRCON,buy,421.3472700261249,118.5,49929.651498095795,99.85930299619159,rebalance
2019-08-16,MGL,buy,0.6329187145874473,805.2,509.6261489858126,1.0192522979716252,rebalance
2019-08-16,NHPC,buy,2194.709955960255,22.75,49929.651498095795,99.85930299619159,rebalance
2019-08-16,NMDC,buy,476.88301335335046,104.7,49929.651498095795,99.85930299619159,rebalance
2019-08-16,NTPC,buy,19.66452239811584,117.4,2308.6149295387995,4.617229859077599,rebalance
2019-08-16,PSPPROJECT,buy,94.74317172314193,527.0,49929.651498095795,99.85930299619159,rebalance
2019-11-15,GSPL,sell,224.9083400815126,218.7,49187.4539758268,98.3749079516536,rebalance
2019-11-15,JBCHEPHARM,sell,133.51475785284924,395.95,52865.16837183566,105.73033674367132,rebalance
2019-11-15,MGL,sell,10.443728518008479,1029.0,10746.596645030724,21.49319329006145,rebalance
2019-11-15,NHPC,sell,2194.709955960255,23.6,51795.15496066202,103.59030992132404,rebalance
2019-11-15,NMDC,sell,476.88301335335046,99.0,47211.4183219817,94.4228366439634,rebalance
2019-11-15,NTPC,sell,426.90749037629877,118.55,50609.88298411022,101.21976596822044,rebalance
2019-11-15,PIIND,sell,7.177758834793829,1433.75,10291.111729385651,20.582223458771303,rebalance
2019-11-15,ADANIENSOL,buy,195.22213358105435,272.0,53100.42033404679,106.20084066809358,rebalance
2019-11-15,DRREDDY,buy,19.323297064791408,2748.0,53100.42033404679,106.20084066809358,rebalance
2019-11-15,GUJENERGY,buy,268.31945595779075,197.9,53100.42033404679,106.20084066809358,rebalance
2019-11-15,IGL,buy,124.94216549187479,425.0,53100.42033404679,106.20084066809358,rebalance
2019-11-15,KNRCON,buy,5.2109736975596235,124.975,651.241437852514,1.302482875705028,rebalance
2019-11-15,POWERGRID,buy,50.422369596935425,141.0,7109.554113167895,14.21910822633579,rebalance
2019-11-15,PSPPROJECT,buy,4.341158618207492,537.95,2335.3262786647206,4.670652557329441,rebalance
2019-11-15,TORNTPOWER,buy,181.23010352916992,293.0,53100.42033404679,106.20084066809358,rebalance
2020-02-17,ADANIENSOL,sell,9.924648434718586,330.0,3275.1339834571336,6.550267966914268,rebalance
2020-02-17,DRREDDY,sell,19.323297064791408,3325.8,64265.421378083265,128.53084275616652,rebalance
2020-02-17,GUJENERGY,sell,268.31945595779075,300.0,80495.83678733722,160.99167357467445,rebalance
2020-02-17,KNRCON,sell,426.5582437236845,141.85,60507.28687220464,121.01457374440929,rebalance
2020-02-17,MGL,sell,51.80923985435415,1167.0,60461.382910031294,120.9227658200626,rebalance
2020-02-17,COCHINSHIP,buy,172.41065994859318,353.25,60904.065626840544,121.8081312536811,rebalance
2020-02-17,GSPL,buy,251.6696926728948,242.0,60904.065626840544,121.8081312536811,rebalance
2020-02-17,HCLTECH,buy,97.75933487454341,623.0,60904.065626840544,121.8081312536811,rebalance
2020-02-17,IGL,buy,0.5649505105308793,487.2,275.2438887306444,0.5504877774612889,rebalance
2020-02-17,INDRAMEDCO,buy,1431.3528936977802,42.55,60904.065626840544,121.8081312536811,rebalance
2020-02-17,PIIND,buy,2.029888333164834,1559.05,3164.6974058206342,6.329394811641269,rebalance
2020-02-17,POWERGRID,buy,62.56020289881287,138.75,8680.228152210286,17.360456304420573,rebalance
2020-02-17,PSPPROJECT,buy,18.66008992771335,519.0,9684.586672483229,19.36917334496646,rebalance
2020-02-17,TORNTPOWER,buy,7.75941515235717,323.5,2510.1708017875444,5.020341603575089,rebalance
2020-06-01,ADANIENSOL,sell,185.29748514633576,172.0,31871.16744516975,63.7423348903395,rebalance
2020-06-01,COCHINSHIP,sell,172.41065994859318,226.2,38999.29128037178,77.99858256074356,rebalance
2020-06-01,HCLTECH,sell,97.75933487454341,557.0,54451.94952512068,108.90389905024136,rebalance
2020-06-01,IGL,sell,16.820679236081173,467.0,7855.257203249908,15.710514406499817,rebalance
2020-06-01,INDRAMEDCO,sell,1431.3528936977802,38.15,54606.11289457032,109.21222578914063,rebalance
2020-06-01,PIIND,sell,6.925402116535476,1572.0,10886.732127193769,21.773464254387537,rebalance
2020-06-01,POWERGRID,sell,13.617172831385833,118.91250000000001,1619.252064312168,3.238504128624336,rebalance
2020-06-01,TORNTPOWER,sell,31.60481799974868,322.5,10192.553804918949,20.3851076098379,rebalance
2020-06-01,ALKEM,buy,22.076958444078226,2290.0,50556.23483693914,101.11246967387828,rebalance
2020-06-01,COROMANDEL,buy,76.6061593104616,659.95,50556.23483693914,101.11246967387828,rebalance
2020-06-01,GSPL,buy,2.104796833573049,200.0,420.9593667146098,0.8419187334292196,rebalance
2020-06-01,MPHASIS,buy,57.60409598010499,877.65,50556.23483693914,101.11246967387828,rebalance
2020-06-01,PSPPROJECT,buy,35.92101690945873,330.0,11853.93558012138,23.70787116024276,rebalance
2020-06-01,SANOFI,buy,6.460860682036951,7825.0,50556.23483693914,101.11246967387828,rebalance
2020-08-17,ALKEM,sell,2.319537265724176,2951.0,6844.954471152043,13.689908942304086,rebalance
2020-08-17,GSPL,sell,253.77448950646786,213.95,54295.052029908795,108.59010405981759,rebalance
2020-08-17,IGL,sell,108.68643676632449,391.0,42496.39677563288,84.99279355126576,rebalance
2020-08-17,MPHASIS,sell,57.60409598010499,1200.0,69124.91517612599,138.24983035225196,rebalance
2020-08-17,PIIND,sell,2.3191691977237006,1945.5,4511.94367417146,9.02388734834292,rebalance
2020-08-17,PSPPROJECT,sell,153.6654371785215,400.8,61589.10722115142,123.17821444230285,rebalance
2020-08-17,SANOFI,sell,6.460860682036951,8350.0,53948.18669500854,107.89637339001708,rebalance
2020-08-17,CHAMBLFERT,buy,377.222806836493,153.95,58073.4511124781,116.1469022249562,rebalance
2020-08-17,COROMANDEL,buy,0.5238537191145469,755.9,395.98102627868604,0.7919620525573721,rebalance
2020-08-17,HCLTECH,buy,81.66706667483912,711.1,58073.4511124781,116.1469022249562,rebalance
2020-08-17,LTM,buy,23.692811844673045,2451.1,58073.4511124781,116.1469022249562,rebalance
2020-08-17,POLYPLEX,buy,71.69561865738036,810.0,58073.4511124781,116.1469022249562,rebalance
2020-08-17,POWERGRID,buy,14.799695868784115,132.0,1953.5598546795031,3.9071197093590064,rebalance
2020-08-17,TORNTPOWER,buy,12.129858123571834,343.85,4170.851715790175,8.34170343158035,rebalance
2020-08-17,ZYDUSLIFE,buy,145.4927999811552,399.15,58073.4511124781,116.1469022249562,rebalance
