label,n,buffer_mult,rebalance,sector_cap,cost,delist_haircut,wait_sessions,no_trade_exit,initial_capital,cagr,sharpe_rf0,max_drawdown,ir_vs_universe_ew,seconds,n_neigh,neigh_median_ir
N10_buf1x_half_cap3_c0.002_h1,10,1,half,3.0,0.002,1.0,5,20,500000.0,0.1965860816606583,0.9307184096991516,-0.3297489298299273,-0.2377344918287983,0.33,7.0,-0.3540872210991564
N10_buf2x_half_cap3_c0.002_h1,10,2,half,3.0,0.002,1.0,5,20,500000.0,0.1743569913907567,0.8323778369209884,-0.3161059292697254,-0.3540872210991564,0.19,7.0,-0.3540872210991564
N25_buf2x_half_cap3_c0.002_h1,25,2,half,3.0,0.002,1.0,5,20,500000.0,0.1875337778490238,0.9226780601254244,-0.3273923900751119,-0.4139107363876632,0.19,7.0,-0.3540872210991564
N15_buf3x_half_capnone_c0.002_h1,15,3,half,0.0,0.002,1.0,5,20,500000.0,0.1784156490042172,0.8589769687310255,-0.3134916059535744,-0.3717519607476327,0.18,7.0,-0.3717519607476327
N15_buf2x_half_capnone_c0.002_h1,15,2,half,0.0,0.002,1.0,5,20,500000.0,0.1771399553053545,0.8535729387047695,-0.3171801066469851,-0.3738044336733789,0.21,7.0,-0.3717519607476327
N15_buf1x_half_capnone_c0.002_h1,15,1,half,0.0,0.002,1.0,5,20,500000.0,0.1695380558365258,0.8265484376614041,-0.3275868215564143,-0.4296056305632322,0.19,7.0,-0.3738044336733789
N15_buf2x_half_cap3_c0.002_h1,15,2,half,3.0,0.002,1.0,5,20,500000.0,0.1578783963355918,0.7946978152273835,-0.3171801066469851,-0.5373484476264675,0.18,7.0,-0.4139107363876632
N25_buf3x_half_cap3_c0.002_h1,25,3,half,3.0,0.002,1.0,5,20,500000.0,0.2140126319740636,1.0187367545414232,-0.3239403739974236,-0.1995930318401889,0.29,7.0,-0.4139107363876632
N25_buf1x_half_cap3_c0.002_h1,25,1,half,3.0,0.002,1.0,5,20,500000.0,0.1448687223478877,0.7501056235493403,-0.3406739586560253,-0.7774830246646269,0.26,7.0,-0.4139107363876632
N15_buf3x_half_cap3_c0.002_h1,15,3,half,3.0,0.002,1.0,5,20,500000.0,0.1599298171490355,0.8031739566994308,-0.3134916059535744,-0.5399856007522543,0.2,7.0,-0.4278903041601573
N15_buf1x_half_cap3_c0.002_h1,15,1,half,3.0,0.002,1.0,5,20,500000.0,0.1745752725825873,0.8605164944583832,-0.3275868215564143,-0.4278903041601573,0.17,7.0,-0.4296056305632322
