date,mark,strategy,universe_ew,nifty500,midcap150,smallcap250
2019-02-15,open,500000.0,500000.0,1.0,1.0,1.0
2019-02-15,close,499194.5591490527,494672.7544822787,0.9932612638116598,0.9922696168111195,0.9922753224575852
2019-02-18,close,497867.3951505108,489234.74388869887,0.9851116275740329,0.9817775362751762,0.9836914385211494
2019-02-19,close,495619.93592780334,491215.43768569984,0.9837542390776515,0.9864703577512527,0.987200804176074
2019-02-20,close,498303.9847869512,496442.38191821205,0.9953795780759735,0.9951141364230862,0.9969358438947873
2019-02-21,close,502472.5947208072,503012.58312893263,1.0018542681511198,1.0044206471853383,1.0076054334519198
2019-02-22,close,504722.12103034987,508238.4718300695,1.0038869403718316,1.0090922725391198,1.015609372441897
2019-02-25,close,506506.3050156526,513058.1724479047,1.011099061494984,1.0128694215320595,1.0235871090999562
2019-02-26,close,505811.4429531116,510296.0821971698,1.0076445797716413,1.0119339660014475,1.0175902687349208
2019-02-27,close,507327.8404223737,511417.7903697648,1.0068768329559883,1.015941446189991,1.019544962696026
2019-02-28,close,507523.473098734,515681.7775937009,1.0082418003942815,1.0210906908328161,1.0282703392248207
2019-03-01,close,510897.75064550433,528109.3196996783,1.0174229306260876,1.0340132600585672,1.0523887123445537
2019-03-05,close,514918.1940810317,545385.7182023035,1.0327611932669405,1.0551980777548446,1.0910616074338395
2019-03-06,close,519067.5867977664,550021.1709639959,1.0391593360287785,1.0597481786741358,1.1025242542370328
2019-03-07,close,520154.57946644374,549484.9422568717,1.0385863680202558,1.0570364880952166,1.1017277033467163
2019-03-08,close,521229.59676997724,549116.2323859136,1.0369796323349803,1.0559385289603442,1.1008211026623431
2019-03-11,close,525897.5173313139,559726.5178664315,1.0521253898512766,1.0764281138453513,1.1215279321663132
2019-03-12,close,530659.8226549957,566214.5530530054,1.0628458031853443,1.0825905331338697,1.1336037135363948
2019-03-13,close,528139.4082418551,563863.9339535859,1.0639629392231256,1.0775359645039613,1.129496934713733
2019-03-14,close,529521.4328954883,563313.7397824752,1.0638500129886417,1.0775882482722885,1.1289955967630294
2019-03-15,close,531586.3185337461,560453.337106985,1.0698222192150435,1.0844444872972578,1.1231419958124806
2019-03-18,close,534320.9048167184,559736.9443459101,1.0717715230747271,1.0808835387517255,1.1212763897798974
2019-03-19,close,539154.7766746139,561706.8080186284,1.07780284504804,1.0867958437971648,1.1262303773345845
2019-03-20,close,537327.2654176607,557683.8826877847,1.075883099061812,1.0825608585626567,1.1224904311587787
2019-03-22,close,538669.3533580822,554205.7915706828,1.0701579663417309,1.078054562962775,1.1165687041452426
2019-03-25,close,536058.8924867271,547291.4271864829,1.0601984787755954,1.069436219637695,1.1039129778287027
2019-03-26,close,543633.9091469378,551481.3434043943,1.071572954796641,1.0797304696988865,1.113013921114993
2019-03-27,close,545398.2236556142,554955.954910732,1.0704262608854043,1.085686580063735,1.1242564683300724
2019-03-28,close,547233.9483052857,558123.3697297756,1.0817264632757155,1.0979096772537564,1.132885769641833
2019-03-29,close,550469.1537972862,563430.9554755773,1.0886839319506354,1.1083014294775042,1.1397350592052773
2019-04-01,close,547180.4703041121,569711.4732568217,1.09299634989838,1.1114737824476313,1.1505828246194545
2019-04-02,close,547306.721754129,569208.6091034041,1.0951176957394584,1.111925966389921,1.1496115915163492
2019-04-03,close,545475.6803754034,564650.2960891501,1.0880927744815245,1.101281273773455,1.1386345612647086
2019-04-04,close,545544.8409225871,562287.7836607286,1.0845185454759774,1.0997283045466535,1.133350424327851
2019-04-05,close,545489.8884925548,565540.5601518597,1.0910985828436959,1.1072769502332538,1.1436007765742908
2019-04-08,close,546589.967264151,564370.1748159905,1.085406797468026,1.0994357980589846,1.1400320189670181
2019-04-09,close,547399.3679929815,563619.7282039606,1.0902914255301022,1.1003981020111702,1.1387428642366375
2019-04-10,close,546470.9808733604,563408.8502793341,1.0841138299778939,1.098421210338472,1.1406102170913486
2019-04-11,close,547563.9329577236,563236.1529622405,1.0854424184950109,1.099035897885022,1.1415535010404074
2019-04-12,close,548245.1015118286,565662.2359320006,1.0899549205092236,1.1031451194605808,1.1484744103110949
2019-04-15,close,548082.6298829393,569250.4505333105,1.09467735921439,1.108671655080254,1.154860792010649
2019-04-16,close,550077.7740833869,570159.5916034705,1.101987248688203,1.1100197284582056,1.1583788917762132
2019-04-18,close,545372.6772838744,564387.3208727072,1.0971753784684788,1.1006694123765441,1.1446366420961278
2019-04-22,close,541740.6093466402,557033.292289212,1.081530168680203,1.08398382490605,1.1275142915985812
2019-04-23,close,538446.0513578723,554961.0028669735,1.0801235170613954,1.0851552639315447,1.1241481653581435
2019-04-24,close,537500.7468244497,556469.7222464682,1.091416140509795,1.088063371910396,1.1309345693249835
2019-04-25,close,536866.7240173591,554825.8302450854,1.084814124210533,1.0840671963204096,1.130852468684973
2019-04-26,close,538815.1117915149,553446.4758546586,1.0916798876883216,1.0810969130494936,1.129521390223523
2019-04-30,close,534840.3764737273,548451.2512907995,1.0888158055398984,1.072518135819364,1.1166665261844042
2019-05-02,close,532194.2928603187,546469.754683787,1.0857986287648598,1.06646169714232,1.1150280070284464
2019-05-03,close,529716.3142925343,544838.5299623939,1.0843351350817148,1.0660575577438984,1.1131781223950143
2019-05-06,close,526828.1673677681,539598.3865814859,1.0739656267581577,1.0583930399220862,1.1043776325147205
2019-05-07,close,526632.7552124339,534743.3254266661,1.0649231911633352,1.0481044421601733,1.0957046606497627
2019-05-08,close,520813.9625825852,527690.831903925,1.0524747790734048,1.038724451507299,1.0810680380401991
2019-05-09,close,519233.8082144033,526138.7126591862,1.0479372665508835,1.036657123046143,1.0777735315070047
2019-05-10,close,514521.9654307427,526970.0828809054,1.0468762146832487,1.0404597073858362,1.0809964183329557
2019-05-13,close,504132.21709692356,516740.9395471905,1.032198077882903,1.020381327273349,1.0565321744319012
2019-05-14,close,506774.4458374337,518192.63655936497,1.0381005578437172,1.0243308713942865,1.0620503855338954
2019-05-15,close,502892.89564731927,514674.01246356586,1.0322109620841526,1.0188509672436619,1.0552360324130092
2019-05-16,close,505496.6374801939,514566.32006683893,1.0391646412881168,1.0215202655779916,1.0568780452132227
2019-05-17,close,512103.7114828437,518143.9721056112,1.0513424851518003,1.0314230939141384,1.0602756142519625
2019-05-20,close,526601.8367603326,536481.5469548069,1.0899109626461359,1.0691140385788136,1.1032788813962797
2019-05-21,close,525988.1837435231,531098.7465560903,1.0794330754532417,1.0588395715650973,1.0964505536983702
2019-05-22,close,525817.427661496,532857.5507234932,1.0824146312012957,1.0592239279160436,1.1010010253415154
2019-05-23,close,529057.2016958706,533337.4095133108,1.077293540151575,1.0580298796934346,1.0994446068255683
2019-05-24,close,536940.5697291122,546785.7393436508,1.0964030842876789,1.0782538065123464,1.1266740701550677
2019-05-27,close,548566.1077218874,559438.2635976436,1.105760045971836,1.0957434335552243,1.1457581019022312
2019-05-28,close,548272.4438730786,562340.0975718555,1.1070014766569687,1.09814142152418,1.1487276995196387
2019-05-29,close,543909.0323740969,559999.1806368703,1.100424470866015,1.0914038807840618,1.1414486917127342
2019-05-30,close,547985.7558024643,560489.0674458098,1.1070022345511599,1.0979252210767727,1.1431553369316796
2019-05-31,close,544538.4372675248,556922.4567308922,1.1058441722270556,1.0985936054664698,1.1350605631910522
2019-06-03,close,543770.354380313,556400.9663300877,1.1191603731658728,1.107609022815873,1.1357557983979512
2019-06-04,close,545722.7155942863,554637.6431209865,1.1142871135166643,1.1068304185902427,1.135064056835308
2019-06-06,close,541284.9543130801,545800.2223865816,1.0970632101281859,1.0905023390491215,1.1167765759784611
2019-06-07,close,535761.9169722039,543101.0258434195,1.098572177462801,1.088957848271238,1.1156271670183115
2019-06-10,close,536469.3598344859,538853.4801459427,1.1019592066031296,1.09026211632978,1.1082363625952225
2019-06-11,close,538345.4875884735,538940.8606635658,1.1063890981505051,1.0966986721333116,1.1101334114261077
2019-06-12,close,538288.9344873396,536295.0220018593,1.100171334206165,1.0877397777766948,1.1058344821693782
2019-06-13,close,541070.2695300085,533254.6342780165,1.1005669549739545,1.08488677971581,1.0999284765549928
2019-06-14,close,539912.4774336563,528932.243738392,1.091859508611628,1.0759349507332916,1.0930949083906998
2019-06-17,close,533174.0789777831,519764.29457769427,1.0775974557222334,1.063099992146359,1.0773315855086494
2019-06-18,close,533102.2625036379,516876.96191001317,1.0784720656188411,1.0617985502374563,1.0720631699709426
2019-06-19,close,539112.0264317698,509413.166950375,1.0756633097463735,1.0521401838451099,1.0574649774481926
2019-06-20,close,539135.177689079,514965.5133489007,1.089870794254004,1.0664150656732714,1.0682550977321494
2019-06-21,close,539049.9455359294,515521.9107550924,1.0825919784420288,1.0667753997522835,1.0680349981440358
2019-06-24,close,532869.5248703206,514273.8610134593,1.0806169061798458,1.063974685459726,1.065516080635623
2019-06-25,close,536252.5598719537,514747.0482112026,1.0883838058509328,1.0707532053696143,1.0699879452830132
2019-06-26,close,542722.0828307361,519105.34716681775,1.0940263281041769,1.0789221909020434,1.0754415239662758
2019-06-27,close,542398.2051426735,521878.248195929,1.0951260325755612,1.084291875216735,1.078694106768401
2019-06-28,close,538827.4048607434,521221.3925586995,1.0912766879786202,1.0830639131984543,1.0781001872449194
2019-07-01,close,541507.75942215,522913.10662482143,1.097514915066122,1.0854972280379014,1.083323185407301
2019-07-02,close,541559.9847127856,522690.94646702055,1.1011217335218892,1.0887882792928794,1.0818506143534925
2019-07-03,close,540961.9538845894,524258.84558345913,1.1025450588129022,1.0905178828721378,1.0848341865479232
2019-07-04,close,542811.9416042716,524751.7409070675,1.1049475833989042,1.0889846966928114,1.0882562110964533
2019-07-05,close,533193.7809702171,516451.801049693,1.091479045727662,1.0726184641315597,1.0743130768716609
2019-07-08,close,521772.57245221717,503902.3342590289,1.0678797364030805,1.0468058264009097,1.0511624432107771
2019-07-09,close,524564.5522565271,504466.44405087037,1.068799062056967,1.0499993754933317,1.052462078873925
2019-07-10,close,520413.2830799693,501187.7014507661,1.0625555297101272,1.040920369777044,1.045114945004033
2019-07-11,close,524600.5581481514,502715.856998918,1.070317124121876,1.0489169601814752,1.0490103583492205
2019-07-12,close,527003.0646322173,503365.62757283216,1.0693674827003428,1.052931505744117,1.0531660481914633
2019-07-15,close,523501.3142804935,499404.20902578405,1.0707756501075325,1.045734715687611,1.0450118824984878
2019-07-16,close,528783.9894224446,499610.74558596406,1.077799055577084,1.0525655193658263,1.0450817553836032
2019-07-17,close,530081.5411384946,499236.06493517716,1.0793944228494923,1.050407754116212,1.0451725901342532
2019-07-18,close,523643.9384257835,492561.7769887115,1.0697714403042353,1.0356156869040567,1.0344628236681794
2019-07-19,close,514333.2155876641,482573.25957350235,1.0531743154118527,1.0166225482530649,1.0170627284522988
2019-07-22,close,511466.3390646078,476714.28712962597,1.046883035730969,1.0101916447488122,1.0029518993032294
2019-07-23,close,518769.1005303349,478372.58897555975,1.0453755841847365,1.0067296114406559,1.0083583137890388
2019-07-24,close,515425.2910091652,472841.8112125565,1.0374927267024008,0.9930030026425207,0.9959593703252985
2019-07-25,close,512826.43924858904,471738.33066855354,1.037561695073797,0.9979233291645616,0.9934614146824203
2019-07-26,close,512980.3449585549,473502.0330236157,1.0413663239134592,1.0026726736334244,0.993945284411845
2019-07-29,close,509087.42750258674,467631.0559040789,1.0319699517313614,0.9940953094781144,0.9840670052786452
