cagr,turnover
0.28219989578011173,0.517531109613713
0.23188626952507363,0.32389198871474684
0.23428174995057605,0.5787106609912384
0.2161664365198026,0.36008650433142075
0.21891179716177955,0.5591673794566823
0.29285501807309267,0.4937172570655195
0.1892173048151018,0.49369942179087745
0.2135802620682472,0.5258445702753529
0.2692590962797279,0.41222913819416696
0.17574009530947232,0.5065991644563729
0.20336442807328625,0.46880425949721544
0.17153786175267305,0.4513931468780441
0.34428765027601504,0.513092683360519
0.2130663676692186,0.5216523712831453
0.24555361836886025,0.4739402936951456
0.20247974011103675,0.46705777231425954
0.19744373770583867,0.3943907405271035
0.21443568056444584,0.6110967257178335
0.15325460140224623,0.37687508939467007
0.2007902333392979,0.4903207925810668
0.1905265278781807,0.4257897224296747
0.19870033143592614,0.5625947198551934
0.2081630553543139,0.4653038650944873
0.24008043008522484,0.4402600884903359
0.291505812625253,0.4286559031594872
0.19976664792012944,0.3519653198734817
0.24944484805955902,0.449133824026279
0.19352500258115546,0.3918958847980324
0.25519103254989584,0.5024959130124167
0.12782612625421463,0.5118297208106114
0.24753237616491175,0.4663959110076184
0.17103584626592006,0.47161022380623285
0.20666916325102536,0.45365992195440213
0.2889434988768942,0.36692124445225965
0.19009603815632992,0.6348732623244657
0.14463426737010376,0.46516515112632206
0.20454448553882876,0.4570428682627145
0.17523087821945582,0.3578633471004451
0.13120003600903063,0.4788923524829731
0.1740612630614855,0.555227570966079
0.20809799340545565,0.5859647222391688
0.17294254691657884,0.62156618850245
0.25360480763329973,0.4647884353355532
0.17126440903763962,0.3954873350857449
0.11882869955572661,0.5489266832753974
0.14676325857231798,0.5266731511438345
0.25507505603327707,0.4778354309473945
0.27436387760662173,0.4157006436009977
0.2152012052980874,0.5930471010095942
0.16266030087679528,0.45024234885986253
0.14704862865137924,0.49333847077740833
0.16888294800979953,0.6808233506783316
0.20325633545763377,0.5293067153831648
0.1914654996578562,0.5049899354558446
0.28175557005013663,0.4021969919490777
0.18310710218525816,0.49174819793992414
0.31243331476744207,0.47894999634915747
0.170862952330598,0.4760977490995083
0.27288119379915177,0.4932439442481253
0.22237817634355705,0.3735226867676792
0.13705494647673455,0.47779776722413975
0.13045636285107065,0.5274707410738273
0.21912214437733857,0.3955066327627842
0.18199082825454926,0.5222661420579349
0.24677015241239975,0.4240154852630924
0.28352289302418,0.4835443160650499
0.19440753540825506,0.5932929890668316
0.18697770084843546,0.6144899681762721
0.16486962748836076,0.4703945313410155
0.2967651265375235,0.6276354403649953
0.18508838193370836,0.5789372157209097
0.282282521159793,0.451769468760018
0.2340567688806101,0.49449491355046216
0.14455336645265082,0.516384634145787
0.27378194473882966,0.4405649798929643
0.2108425767743023,0.7862787701143592
0.27100205499438146,0.5896641931149925
0.16936547312893158,0.49571262266217464
0.2815797097224615,0.38897810415221307
0.3402535717582098,0.4734238909862316
0.14942394065049402,0.54006617833061
0.22800314211790274,0.5088545703698588
0.14248007405624397,0.4611656438031881
0.2272787708310824,0.40378536841987617
0.20505840935588848,0.5435178665549185
0.2228769712026164,0.5915419342153859
0.2064166297812129,0.49660837974858074
0.17232347217150457,0.5721689943065017
0.25994572912394975,0.5196645768843784
0.2198948635289406,0.4572546300312617
0.31059259459550503,0.46839233253886936
0.16867307939898724,0.5211267392315659
0.20330086122561264,0.603546809441316
0.2824405157704015,0.3562602453259666
0.17269269810948806,0.5216143490547545
0.328470749922964,0.5500614348777576
0.15642263252823052,0.6344642043430797
0.1552554759347493,0.5612871242362284
0.2040210914105154,0.46172354571559887
0.2576942935921529,0.5148187886148423
0.25822705013017,0.5168350371254632
0.1718868537180458,0.5944693297128063
0.21344496947926528,0.6239044840385699
0.263159904357787,0.5375208521025366
0.27823319098719823,0.39392919353863004
0.15970367271146757,0.526743336379045
0.2858089578686085,0.5541722911976391
0.198783561867256,0.46265458080152866
0.17157994630366846,0.47486082274939057
0.22671701291374724,0.5675423348014988
0.17447555636340129,0.6073762084306289
0.23418967129050583,0.39161597533593706
0.26181636239311357,0.5174269491491474
0.21613105566422353,0.43163161433002833
0.221520466075811,0.4033112658827346
0.23643570557601046,0.5072776575634435
0.2309436457612437,0.4171586606916894
0.2731545496251355,0.3875761556107954
0.14761575865421794,0.5384654282569721
0.28713244579137376,0.4507498918121506
0.21905451610264337,0.5015370901392572
0.32446912056613697,0.4215521727864014
0.16754902147340167,0.5002662832439743
0.20663091654954724,0.5689683458507993
0.21352662746494566,0.381596444518616
0.2542385722463294,0.4465234271729746
0.2951727306628229,0.6090638524342181
0.29634793428882844,0.42946117447699916
0.16045338254398533,0.5583673033793642
0.2105720491684484,0.5220604215231178
0.22255975079756607,0.569265799574078
0.2666588644903518,0.3548242906321186
0.22032822376673833,0.5239165234688612
0.18040717209734103,0.5089466034441491
0.15060276550114726,0.425762172254264
0.2127358431659463,0.4962754731931396
0.24689638317431428,0.6283992506457706
0.27553019192564543,0.45567154533186016
0.305722938423143,0.3493523127442808
0.16216526853327196,0.516462872001164
0.11243767593214837,0.4519255748236197
0.2723235592756923,0.5232139606232429
0.1407357995644971,0.43684703165478783
0.1680036423739757,0.4748656072768278
0.18209705745628746,0.5965574782704186
0.19053799932031734,0.4964588976880871
0.3109281267529791,0.4805787564275379
0.07246371324859435,0.5159541537447491
0.1849735068731957,0.4572039830100039
0.1918256475578095,0.4104939238509616
0.19192543390039707,0.5269511702696047
0.20225810151210766,0.45887253182198684
0.2636275421547454,0.38520739611792665
0.3073319078972132,0.49456163165141537
0.18656760563680552,0.4685605533470369
0.20423763410314488,0.524795201202853
0.23005109022740156,0.47625501404575765
0.21250308490036374,0.5315043781758694
0.30449238889455676,0.42079849613104864
0.21235089598132317,0.48406229146480034
0.15246224905878192,0.47423067442113465
0.16980142283498845,0.36224526051827494
0.21514218839744315,0.4845760542704942
0.18858503551742056,0.4782485578880561
0.24469356566296763,0.5529774970349517
0.18941559034565647,0.5067685397910251
0.2148855643466494,0.48669636946311096
0.1975570118215162,0.43723051136494134
0.17776148900595445,0.572945141498873
0.10761739176485996,0.5974571535549074
0.17261237176899225,0.5126291143282552
0.2119253825471059,0.53467701051057
0.2583397871607891,0.5765463731527626
0.17876116114437224,0.5469789792169548
0.26872841240491563,0.39543070969728594
0.19229916578056128,0.4941228457591015
0.2606346239553874,0.48802689592869164
0.27185683847454944,0.4734513761833726
0.22134610381638664,0.4796383703550485
0.2133203011583764,0.4075076689599537
0.2707329148881028,0.5046976218912909
0.18915091841255105,0.5939475690480751
0.19546459386204984,0.44078831099014254
0.15215047112358615,0.5326019395900293
0.24221921707292982,0.5303110271536806
0.14120298027934153,0.5536555095019625
0.11617762423316891,0.5086218335152878
0.20802548945351274,0.5343332054064291
0.15995383402425123,0.5310570543002987
0.2080909395068311,0.4001533222153002
0.14789681915534758,0.6080150783708133
0.27386105769205216,0.38271368846087345
0.15187996764577316,0.5456081000256505
0.1619409216142742,0.5494773573690906
0.15020112666796703,0.5893384925645219
0.23530139196425792,0.41156340125482044
0.2760225470188489,0.5361096519478463
0.19553644538006987,0.5182302277442163
0.15700906321419406,0.4541984264867843
0.25273603678131207,0.40963521434763345
0.1730732634893022,0.6233552386695378
0.22691221344140144,0.5100297076803602
0.34159593109319997,0.43403722403132944
0.27061020764519217,0.5039405631500736
0.19798998134677248,0.4974741843645022
0.23482944516705473,0.47333638315943055
0.19796095248389167,0.47497301998317015
0.11265739914941753,0.5288152378869656
0.23602408832722266,0.5396652648887024
0.16830358698956105,0.5021728711387404
0.3079923227191075,0.3908905732196747
0.22075683815731106,0.4573408371845982
0.17314426279740336,0.35856508916373797
0.16977719328491192,0.48947920369521053
0.21709506642487275,0.5052994459584722
0.093864226254879,0.677193223016341
0.1651843675335185,0.43696600033871846
0.2548987794139821,0.3757908043147443
0.2255097371769752,0.45668752666915136
0.18773336126495233,0.36828042477327794
0.2870959690844066,0.5097357382723452
0.19339291310075835,0.5877529032894031
0.13621706809353884,0.40069963619686577
0.18986334900631108,0.600881143064584
0.3223318565901465,0.4893804520476418
0.24764158657652424,0.5737317267861436
0.153744587010743,0.4660785707999932
0.11195647618617444,0.5020964279163238
0.16996941201841742,0.5217868555333083
0.18310159651257885,0.45410324963866167
0.11449166541938083,0.46606883223069473
0.13974163597347222,0.6426556444849294
0.18040856192437693,0.5654924144132388
0.08683825256720268,0.47443029772960293
0.2741129859575413,0.6193690338516159
0.24432289917677585,0.6041344592944783
0.19018421717846357,0.4687481812542258
0.18018934521575658,0.48608637041497704
0.15317402777759548,0.5138562890933273
0.2607480532347417,0.5245970306651184
0.14856099927233068,0.5608463888988573
0.16510029344525434,0.59211554618037
0.20805821437249006,0.4598921060553372
0.22434784924546358,0.3818942261262728
0.13641080679593354,0.4070587516118602
0.1493522672787,0.4467219658881358
0.26583175205519294,0.47518014833350897
0.11646026540673104,0.5680957665867415
0.105713415504602,0.4013461130317286
0.12630585825607166,0.4281923329386482
0.232709747979013,0.42394500164458643
0.20657127476093606,0.5177692603508733
0.2488625342921318,0.4380574116694222
0.254747686141477,0.46061755672565335
0.25224702165452695,0.35519647633325185
0.18818114150688725,0.5375772039643933
0.23917575687539894,0.5030342238766444
0.2782984033322158,0.3878746983607879
0.2350289852191687,0.48119092492895366
0.18799238394378492,0.4385410517356165
0.14497039055005145,0.34807322709530786
0.21975618385729812,0.5407322366469297
0.14045046750106582,0.695086342527146
0.18993696804205884,0.6050977282066478
0.18953781262588487,0.5181363119173745
0.32454833215558576,0.512102066209568
0.28480145378198163,0.4523288457409613
0.20637657930515463,0.537040677654134
0.19071527514486908,0.5035371747934657
0.1331517006380316,0.5115580905506801
0.2279231380804485,0.49203801198737823
0.21598824188077992,0.551902257913803
0.20049033119328308,0.6270330666588695
0.2424095166791307,0.3707438084824655
0.15613613883214783,0.49698510482857
0.13101121819788508,0.5708321752750457
0.1741737991483423,0.439342595027157
0.1474294626993522,0.48473165323461187
0.19097373150551267,0.4895167826069288
0.12378068443915513,0.45272522772728935
0.1435238126798002,0.5909199180039539
0.24246698464101835,0.37374154080665667
0.19007839734546672,0.47727016675645134
0.20171530742254573,0.6177666040526163
0.18960009171771208,0.4730130366117285
0.18032764247461408,0.4798103067951452
0.19057613228023818,0.5513664951443279
0.19772073842312166,0.7433666831330259
0.2453110384507886,0.46710021911767247
0.10943762588671158,0.36005177819960876
0.10602228078457587,0.5342399378888718
0.36048634003039104,0.3951509580194051
0.22795461191154365,0.4255834011171353
0.2584399646157054,0.4498430446308168
0.12585824784068578,0.5747103092805117
0.25595815865452964,0.4848381568890815
0.16729511529801222,0.7614919592640574
0.22369708693579815,0.5716888201174536
0.15750361781809485,0.5330897990485066
0.12485635179603127,0.4092564030433947
0.1739435150121198,0.6814214600117616
0.24434687639645758,0.500341126689814
0.295156134227645,0.4193120017261882
0.18748659061972495,0.4639717306129172
0.2205204610266167,0.365280340501623
0.20092660457170108,0.5722646466050643
0.3394404395510191,0.5753938563014932
0.19781812810801114,0.5679448937750611
0.23131315849749123,0.5105620446131762
0.1878025401479988,0.44422265007239947
0.19543909209120547,0.615194852315737
0.29094560167735484,0.4262342602947295
